1;3201;0cAfghanistan Kabul
Albania Tirane
Algeria Algiers
Andorra Andorra_la_Vella
Angola Luanda
Antigua_and_Barbuda Saint_John's
Argentina Buenos_Aires
Armenia Yerevan
Australia Canberra
Austria Vienna
Azerbaijan Baku
The_Bahamas Nassau
Bahrain Manama
Bangladesh Dhaka
Barbados Bridgetown
Belarus Minsk
Belgium Brussels
Belize Belmopan
Benin Porto-Novo
Bhutan Thimphu
Bolivia La_Paz Sucre
Bosnia_and_Herzegovina Sarajevo
Botswana Gaborone
Brazil Brasilia
Brunei Bandar_Seri_Begawan
Bulgaria Sofia
Burkina_Faso Ouagadougou
Burma Rangoon Yangon Naypyidaw Nay_Pyi_Taw
Burundi Bujumbura
Cambodia Phnom_Penh
Cameroon Yaounde
Canada Ottawa
Cape_Verde Praia
Central_African_Republic Bangui
Chad N'Djamena
Chile Santiago
China Beijing
Colombia Bogota
Comoros Moroni
Congo Brazzaville Kinshasa
Costa_Rica San_Jose
Cote_d'Ivoire Yamoussoukro Abidjan
Croatia Zagreb
Cuba Havana
Cyprus Nicosia
Czech_Republic Prague
Denmark Copenhagen
Djibouti Djibouti
Democratic_Republic_of_the_Congo Kinshasa
Dominica Roseau
Dominican_Republic Santo_Domingo
East_Timor Dili
Ecuador Quito
Egypt Cairo
El_Salvador San_Salvador
England London
Equatorial_Guinea Malabo
Eritrea Asmara
Estonia Tallinn
Ethiopia Addis_Ababa
Federated_States_of_Micronesia Palikir
Fiji Suva
Finland Helsinki
France Paris
Gabon Libreville
Georgia Tbilisi
Germany Berlin
Ghana Accra
Greece Athens
Grenada Saint_George's
Guatemala Guatemala_City
Guinea Conakry
Guinea-Bissau Bissau
Guinea_Bissau Bissau
Guyana Georgetown
Haiti Port_au_Prince Port-au-Prince
Holy_See Vatican_City
Honduras Tegucigalpa
Hungary Budapest
Iceland Reykjavik
India New_Delhi
Indonesia Jakarta
Iran Tehran
Iraq Baghdad
Ireland Dublin
Israel Jerusalem
Italy Rome
Jamaica Kingston
Japan Tokyo
Jordan Amman
Kazakhstan Astana
Kenya Nairobi
Kiribati Tarawa_Atoll
Korea Pyongyang Seoul
Kosovo Pristina
Kuwait Kuwait_City
Kyrgyzstan Bishkek
Laos Vientiane
Latvia Riga
Lebanon Beirut
Lesotho Maseru
Liberia Monrovia
Libya Tripoli
Liechtenstein Vaduz
Lithuania Vilnius
Luxembourg Luxembourg
Macedonia Skopje
Madagascar Antananarivo
Malawi Lilongwe
Malaysia Kuala_Lumpur
Maldives Male
Mali Bamako
Malta Valletta
Marshall_Islands Majuro
Mauritania Nouakchott
Mauritius Port_Louis
Mexico Mexico_City
Micronesia Palikir
Moldova Chisinau
Monaco Monaco
Mongolia Ulaanbaatar
Montenegro Podgorica
Morocco Rabat
Mozambique Maputo
Myanmar Rangoon Yangon Naypyidaw Nay_Pyi_Taw
Namibia Windhoek
Nauru Yaren_District
Nepal Kathmandu
Netherlands Amsterdam The_Hague
New_Zealand Wellington
Nicaragua Managua
Niger Niamey
Nigeria Abuja
North_Korea Pyongyang
Norway Oslo
Oman Muscat
Pakistan Islamabad
Palau Melekeok
Panama Panama_City
Papua_New_Guinea Port_Moresby
Paraguay Asuncion
Peru Lima
Philippines Manila
Poland Warsaw
Portugal Lisbon
Qatar Doha
Republic_of_the_Congo Brazzaville
Republic_of_The_Gambia Banjul
Romania Bucharest
Russia Moscow
Rwanda Kigali
Saint_Kitts_and_Nevis Basseterre
Saint_Lucia Castries
Saint_Vincent_and_the_Grenadines Kingstown
Samoa Apia
San_Marino San_Marino
Sao_Tome_and_Principe Sao_Tome
Saudi_Arabia Riyadh
Senegal Dakar
Serbia Belgrade
Seychelles Victoria
Sierra_Leone Freetown
Singapore Singapore
Slovakia Bratislava
Slovenia Ljubljana
Solomon_Islands Honiara
Somalia Mogadishu
South_Africa Pretoria Cape_Town Bloemfontein
South_Korea Seoul
Spain Madrid
Sri_Lanka Colombo Sri_Jayewardenepura_Kotte
Sudan Khartoum
Suriname Paramaribo
Swaziland Mbabane Lobamba
Sweden Stockholm
Switzerland Bern
Syria Damascus
Taiwan Taipei
Tajikistan Dushanbe
Tanzania Dar_es_Salaam Dodoma
Thailand Bangkok
The_Gambia Banjul
Togo Lome
Tonga Nuku'alofa Nukualofa
Trinidad_and_Tobago Port_of_Spain Port-of-Spain
Tunisia Tunis
Turkey Ankara
Turkmenistan Ashgabat
Tuvalu Funafuti
Uganda Kampala
Ukraine Kyiv Kiev
United_Arab_Emirates Abu_Dhabi
United_Kingdom London
United_States_of_America Washington_D.C.
United_States Washington_D.C.
Uruguay Montevideo
Uzbekistan Tashkent
Vanuatu Port_Vila Port-Vila
Vatican_City Vatican_City
Venezuela Caracas
Vietnam Hanoi
Yemen Sanaa
Zambia Lusaka
Zimbabwe Harare
