first 1 JJ
half half NN
halves half NNS
second 2 JJ
third 3 JJ
third third NN
thirds third NNS
fourth 4 JJ
fourth fourth NN
fourths fourth NNS
fifth 5 JJ
fifth fifth NN
fifths fifth NNS
sixth 6 JJ
sixth sixth NN
sixths sixth NNS
seventh 7 JJ
seventh seventh NN
sevenths seventh NNS
eighth 8 JJ
eighth eighth NN
eighths eighth NNS
ninth 9 JJ
ninth ninth NN
ninths ninth NNS
tenth 10 JJ
tenth tenth NN
tenths tenth NNS
eleventh 11 JJ
eleventh eleventh NN
elevenths eleventh NNS
twelfth 12 JJ
twelfth twelfth NN
twelfths twelfth NNS
thirteenth 13 JJ
thirteenth thirteenth NN
thirteenths thirteenth NNS
fourteenth 14 JJ
fourteenth fourteenth NN
fourteenths fourteenth NNS
fifteenth 15 JJ
fifteenth fifteenth NN
fifteenths fifteenth NNS
sixteenth 16 JJ
sixteenth sixteenth NN
sixteenths sixteenth NNS
seventeenth 17 JJ
seventeenth seventeenth NN
seventeenths seventeenth NNS
eighteenth 18 JJ
eighteenth eighteenth NN
eighteenths eighteenth NNS
nineteenth 19 JJ
nineteenth nineteenth NN
nineteenths nineteenth NNS
twentieth 20 JJ
twentieth twentieth NN
twentieths twentieth NNS
twenty-first 21 JJ
twenty-first twenty-first NN
twenty-firsts twenty-first NNS
twenty-second 22 JJ
twenty-second twenty-second NN
twenty-seconds twenty-second NNS
twenty-third 23 JJ
twenty-third twenty-third NN
twenty-thirds twenty-third NNS
twenty-fourth 24 JJ
twenty-fourth twenty-fourth NN
twenty-fourths twenty-fourth NNS
twenty-fifth 25 JJ
twenty-fifth twenty-fifth NN
twenty-fifths twenty-fifth NNS
twenty-sixth 26 JJ
twenty-sixth twenty-sixth NN
twenty-sixths twenty-sixth NNS
twenty-seventh 27 JJ
twenty-seventh twenty-seventh NN
twenty-sevenths twenty-seventh NNS
twenty-eighth 28 JJ
twenty-eighth twenty-eighth NN
twenty-eighths twenty-eighth NNS
twenty-ninth 29 JJ
twenty-ninth twenty-ninth NN
twenty-ninths twenty-ninth NNS
thirtieth 30 JJ
thirtieth thirtieth NN
thirtieths thirtieth NNS
thirty-first 31 JJ
thirty-first thirty-first NN
thirty-firsts thirty-first NNS
thirty-second 32 JJ
thirty-second thirty-second NN
thirty-seconds thirty-second NNS
thirty-third 33 JJ
thirty-third thirty-third NN
thirty-thirds thirty-third NNS
thirty-fourth 34 JJ
thirty-fourth thirty-fourth NN
thirty-fourths thirty-fourth NNS
thirty-fifth 35 JJ
thirty-fifth thirty-fifth NN
thirty-fifths thirty-fifth NNS
thirty-sixth 36 JJ
thirty-sixth thirty-sixth NN
thirty-sixths thirty-sixth NNS
thirty-seventh 37 JJ
thirty-seventh thirty-seventh NN
thirty-sevenths thirty-seventh NNS
thirty-eighth 38 JJ
thirty-eighth thirty-eighth NN
thirty-eighths thirty-eighth NNS
thirty-ninth 39 JJ
thirty-ninth thirty-ninth NN
thirty-ninths thirty-ninth NNS
fortieth 40 JJ
fortieth fortieth NN
fortieths fortieth NNS
forty-first 41 JJ
forty-first forty-first NN
forty-firsts forty-first NNS
forty-second 42 JJ
forty-second forty-second NN
forty-seconds forty-second NNS
forty-third 43 JJ
forty-third forty-third NN
forty-thirds forty-third NNS
forty-fourth 44 JJ
forty-fourth forty-fourth NN
forty-fourths forty-fourth NNS
forty-fifth 45 JJ
forty-fifth forty-fifth NN
forty-fifths forty-fifth NNS
forty-sixth 46 JJ
forty-sixth forty-sixth NN
forty-sixths forty-sixth NNS
forty-seventh 47 JJ
forty-seventh forty-seventh NN
forty-sevenths forty-seventh NNS
forty-eighth 48 JJ
forty-eighth forty-eighth NN
forty-eighths forty-eighth NNS
forty-ninth 49 JJ
forty-ninth forty-ninth NN
forty-ninths forty-ninth NNS
fiftieth 50 JJ
fiftieth fiftieth NN
fiftieths fiftieth NNS
fifty-first 51 JJ
fifty-first fifty-first NN
fifty-firsts fifty-first NNS
fifty-second 52 JJ
fifty-second fifty-second NN
fifty-seconds fifty-second NNS
fifty-third 53 JJ
fifty-third fifty-third NN
fifty-thirds fifty-third NNS
fifty-fourth 54 JJ
fifty-fourth fifty-fourth NN
fifty-fourths fifty-fourth NNS
fifty-fifth 55 JJ
fifty-fifth fifty-fifth NN
fifty-fifths fifty-fifth NNS
fifty-sixth 56 JJ
fifty-sixth fifty-sixth NN
fifty-sixths fifty-sixth NNS
fifty-seventh 57 JJ
fifty-seventh fifty-seventh NN
fifty-sevenths fifty-seventh NNS
fifty-eighth 58 JJ
fifty-eighth fifty-eighth NN
fifty-eighths fifty-eighth NNS
fifty-ninth 59 JJ
fifty-ninth fifty-ninth NN
fifty-ninths fifty-ninth NNS
sixtieth 60 JJ
sixtieth sixtieth NN
sixtieths sixtieth NNS
sixty-first 61 JJ
sixty-first sixty-first NN
sixty-firsts sixty-first NNS
