11_november 11_november NN I
12-tone_music 12-tone_music NN I
12-tone_system 12-tone_system NN I
14_july 14_july NN I
15_minutes 15_minutes NN I
16_pf 16_pf NN I
18-karat_gold 18-karat_gold NN I
1st_class 1st_class NN I
1st-class_mail 1st-class_mail NN I
1st_lieutenant 1st_lieutenant NN I
.22_caliber .22_caliber JJ I
.22_calibre .22_calibre JJ I
22-karat_gold 22-karat_gold NN I
24-hour_interval 24-hour_interval NN I
24-karat_gold 24-karat_gold NN I
2-hydroxybenzoic_acid 2-hydroxybenzoic_acid NN I
2-methylpropenoic_acid 2-methylpropenoic_acid NN I
2nd_lieutenant 2nd_lieutenant NN I
30_minutes 30_minutes NN I
365_days 365_days NN I
366_days 366_days NN I
.38_caliber .38_caliber JJ I
.38_calibre .38_calibre JJ I
3d_radar 3d_radar NN I
401-k_plan 401-k_plan NN I
440_yards 440_yards NN I
.45_caliber .45_caliber JJ I
.45_calibre .45_calibre JJ I
5-hydroxy-3-methylglutaryl-coenzyme_a_reductase 5-hydroxy-3-methylglutaryl-coenzyme_a_reductase NN I
60_minutes 60_minutes NN I
880_yards 880_yards NN I
april_14 april_14 NN I
area_17_of_brodmann area_17_of_brodmann NN I
atomic_number_100 atomic_number_100 NN I
atomic_number_101 atomic_number_101 NN I
atomic_number_102 atomic_number_102 NN I
atomic_number_103 atomic_number_103 NN I
atomic_number_104 atomic_number_104 NN I
atomic_number_105 atomic_number_105 NN I
atomic_number_106 atomic_number_106 NN I
atomic_number_107 atomic_number_107 NN I
atomic_number_108 atomic_number_108 NN I
atomic_number_109 atomic_number_109 NN I
atomic_number_10 atomic_number_10 NN I
atomic_number_110 atomic_number_110 NN I
atomic_number_111 atomic_number_111 NN I
atomic_number_112 atomic_number_112 NN I
atomic_number_113 atomic_number_113 NN I
atomic_number_114 atomic_number_114 NN I
atomic_number_115 atomic_number_115 NN I
atomic_number_116 atomic_number_116 NN I
atomic_number_11 atomic_number_11 NN I
atomic_number_12 atomic_number_12 NN I
atomic_number_13 atomic_number_13 NN I
atomic_number_14 atomic_number_14 NN I
atomic_number_15 atomic_number_15 NN I
atomic_number_16 atomic_number_16 NN I
atomic_number_17 atomic_number_17 NN I
atomic_number_18 atomic_number_18 NN I
atomic_number_19 atomic_number_19 NN I
atomic_number_1 atomic_number_1 NN I
atomic_number_20 atomic_number_20 NN I
atomic_number_21 atomic_number_21 NN I
atomic_number_22 atomic_number_22 NN I
atomic_number_23 atomic_number_23 NN I
atomic_number_24 atomic_number_24 NN I
atomic_number_25 atomic_number_25 NN I
atomic_number_26 atomic_number_26 NN I
atomic_number_27 atomic_number_27 NN I
atomic_number_28 atomic_number_28 NN I
atomic_number_29 atomic_number_29 NN I
atomic_number_2 atomic_number_2 NN I
atomic_number_30 atomic_number_30 NN I
atomic_number_31 atomic_number_31 NN I
atomic_number_32 atomic_number_32 NN I
atomic_number_33 atomic_number_33 NN I
atomic_number_34 atomic_number_34 NN I
atomic_number_35 atomic_number_35 NN I
atomic_number_36 atomic_number_36 NN I
atomic_number_37 atomic_number_37 NN I
