AF AF NP000000
AIX AIX NP000000
AKAN AKAN NP000000
AKP AKP NP000000
AMO AMO NP000000
ANC ANC NP000000
ANSA ANSA NP000000
AOF AOF NP000000
ASEA ASEA NP000000
AUF AUF NP000000
AUL AUL NP000000
Aage Aage NPM00000
Aagot Aagot NPF00000
Aakre Aakre NP000000
Aamodt Aamodt NP000000
Aanon Aanon NPM00000
Aanonsen Aanonsen NP000000
Aanonson Aanonson NP000000
Aanonssen Aanonssen NP000000
Aanonsson Aanonsson NP000000
Aarnes Aarnes NP000000
Aarseth Aarseth NP000000
Aarstad Aarstad NP000000
Aas Aas NP000000
Aase Aase NPF00000
Aasen Aasen NP000000
Aaserud Aaserud NP000000
Aasheim Aasheim NP000000
Aasland Aasland NP000000
Aass Aass NP000000
Abadan Abadan NP000000
Abeba Abeba NP000000
Abel Abel NPM00000
Abelsen Abelsen NP000000
Abelson Abelson NP000000
Abelssen Abelssen NP000000
Abelsson Abelsson NP000000
Aberdeen Aberdeen NP000000
Abidjan Abidjan NP000000
Abraham Abraham NPM00000
Abrahamsen Abrahamsen NP000000
Abrahamson Abrahamson NP000000
Abrahamssen Abrahamssen NP000000
Abrahamsson Abrahamsson NP000000
Abu Abu NP000000
Acapulco Acapulco NP000000
Accra Accra NP000000
Aconcagua Aconcagua NP000000
Actinorkonsernet Actinorkonsernet NPN00000
Ada Ada NPF00000
Adam Adam NPM00000
Addis Addis NP000000
Aden Aden NP000000
Adenbukta Adenbukta NPF00000
Adolf Adolf NPM00000
Adolfsen Adolfsen NP000000
Adolfson Adolfson NP000000
Adolfssen Adolfssen NP000000
Adolfsson Adolfsson NP000000
Adonis Adonis NPM00000
Adresseavisen Adresseavisen NPM00000
Adriahavet Adriahavet NPN00000
Adriaterhavet Adriaterhavet NPN00000
Adriaterhavskysten Adriaterhavskysten NPM00000
Afghanistan Afghanistan NP000000
Afrika Afrika NP000000
Afrodite Afrodite NPF00000
Aftenposten Aftenposten NPM00000
Aga Aga NP000000
Agdenes Agdenes NP000000
Agder Agder NP000000
Agderkysten Agderkysten NPM00000
Agip Agip NP000000
Agro Agro NP000000
Aires Aires NP000000
Ajaccio Ajaccio NP000000
Akaba Akaba NP000000
Akababukta Akababukta NPF00000
Aker Aker NP000000
Akerselva Akerselva NPF00000
Akershus Akershus NP000000
Akkerhaugen Akkerhaugen NPM00000
Akropolis Akropolis NP000000
Aksel Aksel NPM00000
Akselsen Akselsen NP000000
Akselson Akselson NP000000
Akselssen Akselssen NP000000
Akselsson Akselsson NP000000
Aksnes Aksnes NP000000
Akureyri Akureyri NP000000
Alabama Alabama NP000000
Alaska Alaska NP000000
Albania Albania NP000000
Albany Albany NP000000
Albert Albert NPM00000
Alberta Alberta NP000000
Albertsen Albertsen NP000000
Albertson Albertson NP000000
Albertssen Albertssen NP000000
Albertsson Albertsson NP000000
Albertville Albertville NP000000
Albrigt Albrigt NPM00000
Albrigtsen Albrigtsen NP000000
Albrigtson Albrigtson NP000000
Albrigtssen Albrigtssen NP000000
Albrigtsson Albrigtsson NP000000
Alcatel Alcatel NP000000
Alegre Alegre NP000000
Aleutene Aleutene NP000000
Alexander Alexander NPM00000
Alexandria Alexandria NP000000
Alf Alf NPM00000
Alfhild Alfhild NPF00000
